269,"Координатор / Специалист по регистрации (подготовка инструкции)","<a itemprop=""hiringOrganization"" href=""/employer/52343""> SANDOZ</a>"," SANDOZ","з/п не указана",Москва,"1–3 года",,"Высшее образование соответствующего профиля (биологическое, химическое, медицинское, фармацевтическое - как преимущество) Желателен опыт работы на аналогичной должности (подготовка инструкции) Опыт в медицине / клинических исследованиях (в качестве преимущества) Знание законодательства РФ в области производства и регистрации фармацевтических препаратов (как преимущество) Уверенное владение ПК и основными офисными программными инструментами Владение разговорным и письменным английским языком (Intermediate и выше)",NULL,"Привлекательный уровень оплаты труда, наличие годового бонуса по результатам работы Медицинское страхование для сотрудника и детей с первых дней работы Страхование жизни Компенсация питания Гибкое время начала и окончания рабочего дня Компенсация мобильной связи Доплата до среднего заработка в случае больничного на определенное количество дней Дополнительные дни отпуска Перспективы профессионального и карьерного роста",,"Москва, Ленинградский проспект, 72к3","Полная занятость, полный день",2015-01-20T21:59:42.164+03:00,384ecb13468b72f787af7ab95ff4783c
270,"Главный инженер проекта","<a itemprop=""hiringOrganization"" href=""/employer/51910""> ЮНИКС</a>"," ЮНИКС","з/п не указана",Москва,"1–3 года",,"опыт проектирования ЛПУ; отличное знание MS Office, AutoCad; высокая работоспособность, ответственность, пунктуальность, коммуникабельность, способность принимать решения в рамках своих полномочий; готовность к командировкам по России и СНГ, заграничные, до 30% рабочего времени;",NULL,"трудоустройство согласно ТК РФ; заработная плата обсуждается на собеседовании; пятидневная рабочая неделя, с 9:00 до 18:00; район работы 5-7 минут ходьбы от м. Павелецкая (через полгода планируется переезд в р-н м. Кунцевская)",,,"Полная занятость, полный день",2015-01-19T11:40:05.016+03:00,f89ec3a042ebe61d37e520951bb01141
271,"Медицинский представитель (госпитальный канал)","<a itemprop=""hiringOrganization"" href=""/employer/1565771"">ООО Федеральная рекрутинговая сеть «Визави- Метрополис»</a>","ООО Федеральная рекрутинговая сеть «Визави- Метрополис»","з/п не указана",Москва,"1–3 года",,"•образование высшее/неполное высшее•опыт продаж медицинской продукции (расходных материалов или оборудования) от 1 года в госпитальном канале;•уверенный пользователь ПК. Условия:•официальное трудоустройство;•работа с режиме Home Office;•график работы: 5/2 (сб и вс - выходной) с 9.00 до 18.00;•оплата мобильной связи, интернета, компенсация ГСМ за использование личного автомобиля или проезда;•заработная плата: оклад 50 000 рублей + 2% с оборота, совокупный доход до 120 000 рублей;•работа в российской компании, специализирующейся на производстве и продаже одноразового хирургического белья и одежды для потребностей операционной.Тип занятостиПолная занятость, гибкий графикВы откликаетесь на вакансию в другой странеСтрана размещения вакансии — Россия.
                В резюме не указано, что вы готовы туда переехать.Все равно откликнутьсяНе откликатьсяОткликнуться на вакансиюОтклик направлен работодателюСопроводительное письмо к откликуОтменаПроизошла ошибка, попробуйте ещё разПожалуйста, введите сопроводительное письмоОтклик уже просмотрен работодателем.Письмо можно отправить только к непросмотренным резюме.Написать сопроводительное письмоПисьмо отправленоПроизошла ошибка, попробуйте ещё разТвитнутьДата публикации вакансии 19 января 2015РекомендуемПосмотрите другие вакансии из проф. областейМедицина, фармацевтикаМедицинский представительМедицинское оборудованиеЛекарственные препаратыПродажи",NULL,"•официальное трудоустройство;•работа с режиме Home Office;•график работы: 5/2 (сб и вс - выходной) с 9.00 до 18.00;•оплата мобильной связи, интернета, компенсация ГСМ за использование личного автомобиля или проезда;•заработная плата: оклад 50 000 рублей + 2% с оборота, совокупный доход до 120 000 рублей;•работа в российской компании, специализирующейся на производстве и продаже одноразового хирургического белья и одежды для потребностей операционной.Тип занятостиПолная занятость, гибкий графикВы откликаетесь на вакансию в другой странеСтрана размещения вакансии — Россия.
                В резюме не указано, что вы готовы туда переехать.Все равно откликнутьсяНе откликатьсяОткликнуться на вакансиюОтклик направлен работодателюСопроводительное письмо к откликуОтменаПроизошла ошибка, попробуйте ещё разПожалуйста, введите сопроводительное письмоОтклик уже просмотрен работодателем.Письмо можно отправить только к непросмотренным резюме.Написать сопроводительное письмоПисьмо отправленоПроизошла ошибка, попробуйте ещё разТвитнутьДата публикации вакансии 19 января 2015РекомендуемПосмотрите другие вакансии из проф. областейМедицина, фармацевтикаМедицинский представительМедицинское оборудованиеЛекарственные препаратыПродажи",,,"Полная занятость, гибкий график",2015-01-19T11:39:56.904+03:00,27e6df9f37bcfcbeea5befe22100c365
272,"Медицинский представитель Rx (г. Иркутск)","<a itemprop=""hiringOrganization"" href=""/employer/32619""> БЕЛУПО, лекарства и косметика д.д.</a>"," БЕЛУПО, лекарства и косметика д.д.","з/п не указана",Иркутск,"1–3 года",,,NULL,"Заработная плата , бонусы, премии Внутренние тренинги Страховка ДМС (после испытательного срока) Предоставляется служебный автомобиль, оплата расходов на автомобиль Оплата мобильного телефона Развитие профессионального роста в дружном стабильном коллективе По результатам года - годовая премия",,,"Полная занятость, полный день",2015-01-19T11:38:58.150+03:00,d2c7dced9fcdbe9b6fc517faeeb57227
273,"Медицинский представитель Rx г. Челябинск","<a itemprop=""hiringOrganization"" href=""/employer/32619""> БЕЛУПО, лекарства и косметика д.д.</a>"," БЕЛУПО, лекарства и косметика д.д.","з/п не указана",Челябинск,"1–3 года",,"Любое высшее образование Опыт работы медицинским представителем от 1 год Приветствуется опыт работы в продажах мед./фарм бизнесе Уверенное владение программами MS Office Права категории В, опыт вождения Коммуникабельность, активная жизненная позиция, ориентированность на результат, организованность, исполнительность Способность работать как самостоятельно так и в команде",NULL,"Белая заработная плата + бонусы, премии Оформление в штат компании Внутренние тренинги Страховка ДМС (после испытательного срока) Развитие карьерного роста в дружном стабильном коллективе Предоставляется служебный автомобиль, оплата расходов на автомобиль Оплата мобильного телефона По результатам года - годовая премия",,,"Полная занятость, полный день",2015-01-19T11:38:45.346+03:00,0516de59486bf110fe13ee1c0b3e8c41
274,"Администратор/менеджер по работе с клиентами","<a itemprop=""hiringOrganization"" href=""/employer/1566830"">ООО Центр дыхательных техник</a>","ООО Центр дыхательных техник","от 30 000 до 50 000 руб.",Москва,"1–3 года",,"Уверенный пользователь ПК, офисной техники, Microsoft Office, интернет; Личные качества: грамотная речь, пунктуальность, ответственность, позитивный настрой; Опыт работы в аналогичной сфере или сфере продаж приветствуется;",NULL,"Бесплатное обучение Рабочий день с 09.00 до 16.00 и с 15.00 до 22.00 (2 работа в первую смену, следующие 2 дня работа во вторую смену, возможность работать только в одну смену ОТСУТСТВУЕТ). Заработная плата оклад + % с продаж, возможность зарабатывать 30-50 тыс.; Оформление по ТК РФ; График работы: 5/2 Адрес: Москва, Лялин переулок.",,"Москва, Лялин переулок, 5с1","Полная занятость, сменный график",2015-01-20T21:38:42.021+03:00,1ce499afc20fdf843eac46b70195ccb1
275,"Фармацевт (м. Новогиреево)","<a itemprop=""hiringOrganization"" href=""/employer/5586""> Фора-Фарм</a>"," Фора-Фарм","от 40 000 до 45 000 руб.","Москва, <span class=""metro-station""><span class=""metro-point"" style=""background: #FFCD1C""></span>Новогиреево</span>","1–3 года","• Работа за «первым столом». • Консультирование покупателей по лекарственным препаратам, лечебной косметики и парафармации. • Продажа лекарственных средств и сопутствующих товаров. • Работа с кассой, составление отчетности. Требования: • Высшее или среднее специальное фармацевтическое образование. • Наличие сертификата специалиста. • Опыт работы от года. • Пользователь ПК: Word, Excel, М-аптека (как преимущество). • Ответственность, коммуникабельность, бесконфликтность. Условия: • Ст.м. Новогиреево, проезд автобусом №659 или троллейбусом №77 (3 остановки) • Аптека закрытого типа • График работы сотрудника: 12 часов 2/2, режим работы аптеки с 8.00 до 21.00 (смена начинается в удобное для Вас время) • Официальное оформление, оплачиваемый отпуск и переработки. • Рассмотрим резюме выпускников и учащихся последних курсов фарм. факультета.  АдресМосква, улица Молостовых, 1а, м. НовогиреевоПоказать на карте­Тип занятостиПолная занятость, сменный график
            $(function(){
                HH.conversionGoals.trackAnalyticsEvent(
                    'view_work',
                    'profArea',
                    '12305928'
                );
            });
        Показать контактную информациюКонтактная информацияГолубкова ЛилияПочта:
            golubkovale@forafarm.ruВы откликаетесь на вакансию в другой странеСтрана размещения вакансии — Россия.
                В резюме не указано, что вы готовы туда переехать.Все равно откликнутьсяНе откликатьсяОткликнуться на вакансиюОтклик направлен работодателюСопроводительное письмо к откликуОтменаПроизошла ошибка, попробуйте ещё разПожалуйста, введите сопроводительное письмоОтклик уже просмотрен работодателем.Письмо можно отправить только к непросмотренным резюме.Написать сопроводительное письмоПисьмо отправленоПроизошла ошибка, попробуйте ещё разТвитнутьДата публикации вакансии 19 января 2015РекомендуемПосмотрите другие вакансии из проф. областейМедицина, фармацевтикаПровизорФармацевтМладший и средний медперсонал","• Высшее или среднее специальное фармацевтическое образование. • Наличие сертификата специалиста. • Опыт работы от года. • Пользователь ПК: Word, Excel, М-аптека (как преимущество). • Ответственность, коммуникабельность, бесконфликтность. Условия: • Ст.м. Новогиреево, проезд автобусом №659 или троллейбусом №77 (3 остановки) • Аптека закрытого типа • График работы сотрудника: 12 часов 2/2, режим работы аптеки с 8.00 до 21.00 (смена начинается в удобное для Вас время) • Официальное оформление, оплачиваемый отпуск и переработки. • Рассмотрим резюме выпускников и учащихся последних курсов фарм. факультета.  АдресМосква, улица Молостовых, 1а, м. НовогиреевоПоказать на карте­Тип занятостиПолная занятость, сменный график
            $(function(){
                HH.conversionGoals.trackAnalyticsEvent(
                    'view_work',
                    'profArea',
                    '12305928'
                );
            });
        Показать контактную информациюКонтактная информацияГолубкова ЛилияПочта:
            golubkovale@forafarm.ruВы откликаетесь на вакансию в другой странеСтрана размещения вакансии — Россия.
                В резюме не указано, что вы готовы туда переехать.Все равно откликнутьсяНе откликатьсяОткликнуться на вакансиюОтклик направлен работодателюСопроводительное письмо к откликуОтменаПроизошла ошибка, попробуйте ещё разПожалуйста, введите сопроводительное письмоОтклик уже просмотрен работодателем.Письмо можно отправить только к непросмотренным резюме.Написать сопроводительное письмоПисьмо отправленоПроизошла ошибка, попробуйте ещё разТвитнутьДата публикации вакансии 19 января 2015РекомендуемПосмотрите другие вакансии из проф. областейМедицина, фармацевтикаПровизорФармацевтМладший и средний медперсонал",NULL,"• Ст.м. Новогиреево, проезд автобусом №659 или троллейбусом №77 (3 остановки) • Аптека закрытого типа • График работы сотрудника: 12 часов 2/2, режим работы аптеки с 8.00 до 21.00 (смена начинается в удобное для Вас время) • Официальное оформление, оплачиваемый отпуск и переработки. • Рассмотрим резюме выпускников и учащихся последних курсов фарм. факультета.  АдресМосква, улица Молостовых, 1а, м. НовогиреевоПоказать на карте­Тип занятостиПолная занятость, сменный график
            $(function(){
                HH.conversionGoals.trackAnalyticsEvent(
                    'view_work',
                    'profArea',
                    '12305928'
                );
            });
        Показать контактную информациюКонтактная информацияГолубкова ЛилияПочта:
            golubkovale@forafarm.ruВы откликаетесь на вакансию в другой странеСтрана размещения вакансии — Россия.
                В резюме не указано, что вы готовы туда переехать.Все равно откликнутьсяНе откликатьсяОткликнуться на вакансиюОтклик направлен работодателюСопроводительное письмо к откликуОтменаПроизошла ошибка, попробуйте ещё разПожалуйста, введите сопроводительное письмоОтклик уже просмотрен работодателем.Письмо можно отправить только к непросмотренным резюме.Написать сопроводительное письмоПисьмо отправленоПроизошла ошибка, попробуйте ещё разТвитнутьДата публикации вакансии 19 января 2015РекомендуемПосмотрите другие вакансии из проф. областейМедицина, фармацевтикаПровизорФармацевтМладший и средний медперсонал",,"Москва, улица Молостовых, 1а, м. Новогиреево","Полная занятость, сменный график",2015-01-19T11:38:31.660+03:00,54751ce7f4f9a20e02ff728e45aaae8b
276,"Менеджер по регистрации лекарственных препаратов","<a itemprop=""hiringOrganization"" href=""/employer/4548""> ПОЛИСАН, научно-технологическая фармацевтическая фирма</a>"," ПОЛИСАН, научно-технологическая фармацевтическая фирма","з/п не указана",Санкт-Петербург,"1–3 года","Подготовка доклинической и клинической документации для регистрационных досье по препаратам ООО &quot;НТФФ &quot;ПОЛИСАН&quot; Поддержание документации регистрационного досье в актуальном состоянии","Высшее медицинское образование Аналогичный опыт работы Опыт работы в ЛПУ или научном учреждении не менее 2-х лет",NULL,"Оформление в соответствии с ТК РФ Программа ДМС Место работы - рядом со ст. м. Лиговский проспект",,,"Полная занятость, полный день",2015-01-20T21:38:17.848+03:00,1067500da6c0868571af32116d309247
277,"Заведующая/заведующий аптекой с коллективом","<a itemprop=""hiringOrganization"" href=""/employer/5586""> Фора-Фарм</a>"," Фора-Фарм","до 65 000 руб.",Москва,"3–6 лет",,"Образование высшее по специальности &quot;Провизор&quot; Успешный опыт работы на позиции заведующего аптекой не менее 2-х лет Управленческие навыки Опытный пользователь ПК (знание программы &quot;М-аптека&quot; является преимуществом)",NULL,"Новая аптека закрытого типа, круглосуточная (возможны другие варианты подходящих графиков для фармацевтов) График заведующей: пятидневная рабочая неделя с 9.00 до 18.00 Заработная плата фиксированная, после 6 месяцев работы - премии по результатам Рядом с метро, скоро открытие.",,,"Полная занятость, полный день",2015-01-19T11:38:31.638+03:00,52334cbbb1036fd285faf326f026e5f5
278,"Менеджер по научной и клинической работе","<a itemprop=""hiringOrganization"" href=""/employer/4548""> ПОЛИСАН, научно-технологическая фармацевтическая фирма</a>"," ПОЛИСАН, научно-технологическая фармацевтическая фирма","з/п не указана",Санкт-Петербург,"1–3 года",,"Высшее медицинское образование Аналогичный опыт работы Владение современными методами и средствами планирования и организации научных разработок для выполнения клинических, пострегистрационных исследований лекарственных препаратов и биофармацевтических исследований.",NULL,"Место работы - 5 мин. от ст. м. Лиговский проспект Оформление согласно ТК РФ Полис ДМС",,,"Полная занятость, полный день",2015-01-20T21:38:17.820+03:00,0980e887b0f57bde98f75686d1d26193
279,"Заместитель заведующего (м. Улица Горчакова)","<a itemprop=""hiringOrganization"" href=""/employer/5586""> Фора-Фарм</a>"," Фора-Фарм","до 50 000 руб.","Москва, <span class=""metro-station""><span class=""metro-point"" style=""background: #E42313""></span>Улица Подбельского</span>","1–3 года",,"Образование высшее по специальности &quot;Провизор&quot; Успешный опыт работы в аптеке не менее 2-х лет Управленческие навыки Опытный пользователь ПК (знание программы &quot;М-аптека&quot; является преимуществом)",NULL,"Ст.м. Улица Горчакова (10 минут пешком) Аптека закрытого типа в 5ти этажном жилом доме График работы сотрудника: 12 часов 2/2, режим работы аптеки с 9.00 до 22.00 Официальное оформление, оплачиваемый отпуск и больничные листы Заработная плата &quot;чистыми на руки&quot; от 40 тыс.рублей, при 100% выполнении плана - 50000, переработки оплачиваются отдельно.",,"Москва, Открытое шоссе, 5к6, м. Улица Подбельского","Полная занятость, сменный график",2015-01-19T11:38:31.602+03:00,5420d1db14c6042c93ab010754819786
280,"Заведующая / Заведующий аптекой (м. Кантемировская)","<a itemprop=""hiringOrganization"" href=""/employer/5586""> Фора-Фарм</a>"," Фора-Фарм","от 50 000 до 60 000 руб.","Москва, <span class=""metro-station""><span class=""metro-point"" style=""background: #4FB04F""></span>Кантемировская</span>","1–3 года",,"Образование высшее по специальности &quot;Провизор&quot; Успешный опыт работы на позиции заведующего аптекой не менее 2-х лет Управленческие навыки Опытный пользователь ПК (знание программы &quot;М-аптека&quot; является преимуществом)",NULL,"Новая аптека закрытого типа, круглосуточная. Открытие планируется в январе. Заработная плата фиксированная, после 6 месяцев работы - премии по результатам График: пятидневная рабочая неделя с 9.00 до 18.00 Адрес ул. Кантемировская, м. Кантемировская.",,"Москва, Кантемировская улица, 1а, м. Кантемировская","Полная занятость, полный день",2015-01-19T11:38:31.588+03:00,b50e439eca6990fbf7f88bd4981fe0c5
281,"Менеджер по выставочной деятельности","<a itemprop=""hiringOrganization"" href=""/employer/4548""> ПОЛИСАН, научно-технологическая фармацевтическая фирма</a>"," ПОЛИСАН, научно-технологическая фармацевтическая фирма","з/п не указана",Санкт-Петербург,"1–3 года",,"Высшее медицинское/фармацевтическое образование Опыт работы медицинским представителем, менеджером отдела продвижения Опыт презентации и продвижения медицинских препаратов, опыт публичных выступлений Грамотная речь Творческий подход к работе Организаторские способности",NULL,"Разъездной характер работы, командировки в регионы Оформление согласно ТК РФ Программа ДМС .",,,"Полная занятость, полный день",2015-01-20T21:38:17.585+03:00,ea24f66f970d377967e88664fda6bca6
282,"Региональный представитель","<a itemprop=""hiringOrganization"" href=""/employer/82155""> КИО, КО</a>"," КИО, КО","з/п не указана",Нижневартовск,"1–3 года",,"Активная жизненная позиция; Умение работать самостоятельно; Нацеленность на результат; Коммуникабельность; Умение находить компромисс.",NULL,"Интересная работа; Возможность самореализации; Конкурентоспособная оплата; Компенсация затрат на ГСМ; Обучение.",,"Киров, Студенческий проезд, 26","Полная занятость, полный день",2015-01-19T11:35:18.592+03:00,597189aba873abb16df28a1ed671fb5a
283,Косметолог,"<a itemprop=""hiringOrganization"" href=""/employer/1228633""> R-Group</a>"," R-Group","от 20 000 до 30 000 руб.",Самара,"1–3 года",,,NULL,,,,"Полная занятость, сменный график",2015-01-19T11:35:04.398+03:00,4846d607fab9cd86abe3f8b666c60085
284,"Медицинский представитель","<a itemprop=""hiringOrganization"" href=""/employer/583560"">ОАО Татхимфармпрепараты</a>","ОАО Татхимфармпрепараты","з/п не указана","Набережные Челны","1–3 года",,"•высшее профессиональное образование (медицинское или фармацевтическое). Условия: •полный соцпакетАдресКазань, Беломорская, 260Показать на карте­Тип занятостиПолная занятость, полный деньВы откликаетесь на вакансию в другой странеСтрана размещения вакансии — Россия.
                В резюме не указано, что вы готовы туда переехать.Все равно откликнутьсяНе откликатьсяОткликнуться на вакансиюОтклик направлен работодателюСопроводительное письмо к откликуОтменаПроизошла ошибка, попробуйте ещё разПожалуйста, введите сопроводительное письмоОтклик уже просмотрен работодателем.Письмо можно отправить только к непросмотренным резюме.Написать сопроводительное письмоПисьмо отправленоПроизошла ошибка, попробуйте ещё разТвитнутьДата публикации вакансии 20 января 2015РекомендуемПосмотрите другие вакансии из проф. областейМедицина, фармацевтикаМедицинский представитель",NULL,"•полный соцпакетАдресКазань, Беломорская, 260Показать на карте­Тип занятостиПолная занятость, полный деньВы откликаетесь на вакансию в другой странеСтрана размещения вакансии — Россия.
                В резюме не указано, что вы готовы туда переехать.Все равно откликнутьсяНе откликатьсяОткликнуться на вакансиюОтклик направлен работодателюСопроводительное письмо к откликуОтменаПроизошла ошибка, попробуйте ещё разПожалуйста, введите сопроводительное письмоОтклик уже просмотрен работодателем.Письмо можно отправить только к непросмотренным резюме.Написать сопроводительное письмоПисьмо отправленоПроизошла ошибка, попробуйте ещё разТвитнутьДата публикации вакансии 20 января 2015РекомендуемПосмотрите другие вакансии из проф. областейМедицина, фармацевтикаМедицинский представитель",,"Казань, Беломорская, 260","Полная занятость, полный день",2015-01-20T21:23:37.006+03:00,70a54d2bb557997485626c071bee89d4
285,"Косметолог-эстетист в центр красоты","<a itemprop=""hiringOrganization"" href=""/employer/1117066"">ООО Красивые люди</a>","ООО Красивые люди","от 60 000 руб.",Ярославль,"1–3 года",,"обязательно! курсы эстетической косметологии. медицинское образование приветствуется! мед. книжка ответственность общительность",NULL,"оформление по ТК РФ; соц.пакет; график работы согласовывается с кандидатом работа с постоянными клиентами салона заработная плата оклад 1500 руб. выход +% со всех клиентов обучающая стажировка перед работой",,"Ярославль, проспект Октября, 10","Полная занятость, полный день",2015-01-19T11:34:26.914+03:00,873f4683a65b886bd87cb0ec7aa9f7d0
286,"Фельдшер СМП","<a itemprop=""hiringOrganization"" href=""/employer/4798"">ЗАО Сеть поликлиник «Семейный доктор»</a>","ЗАО Сеть поликлиник «Семейный доктор»","з/п не указана",Москва,"1–3 года",,"Обязательно наличие действующего сертификата; Гражданство РФ; Профессионализм, ответственность, коммуникабельность, стрессоустойчивость; Приветствуется опыт работы в коммерческих клиниках",NULL,"Фиксированный оклад + премии; Оплата отпусков и больничных согласно ТК РФ; Сохранение медицинского стажа; Ведение истории пациента в специализированной компьютерной программе; Предоставление медицинского обслуживания сотрудникам и членам их семей Сменный график работы на территории работодат",,,"Полная занятость, полный день",2015-01-20T20:47:59.068+03:00,787c0867a1fb4d3015eec9eee9173cbf
287,"Registration Specialist","<a itemprop=""hiringOrganization"" href=""/employer/89537""> Adecco Group Russia</a>"," Adecco Group Russia","з/п не указана",Москва,"не требуется",,,NULL,,,,"Полная занятость, полный день",2015-01-19T12:21:46.385+03:00,d088bb4ef4c8cdc6bdd0182f93dae717
288,Врач-дерматокосметолог,"<a itemprop=""hiringOrganization"" href=""/employer/1123907""> Салон красоты VERY</a>"," Салон красоты VERY","от 70 000 руб.",Москва,"3–6 лет",,,NULL,"Заработная плата от 70000 рублей (на первые 2-3 месяца можем обсудить оклад ) Хорошая клиентская база и ежемесячный приток новых клиентов (развиваем салон,в интернет ресурсах ,хороший сарафан)","Сменный график 2-2 (только такой вариант) Возможность профессионального роста Скидки на продукцию и обслуживание в салонах Творческий и доброжелательный коллектив ,стабильную работу (16 лет работаем) Оформление по ТК РФ","Москва, Красноармейская улица, 12","Полная занятость, сменный график",2015-01-20T20:34:37.052+03:00,2c52057d1d8e4cbdcad15d4cbca92b46
289,"Медицинский представитель","<a itemprop=""hiringOrganization"" href=""/employer/714018""> М энд С ФАРМАСЬЮТИКАЛС</a>"," М энд С ФАРМАСЬЮТИКАЛС","от 35 000 до 40 000 руб.",Новосибирск,"1–3 года",,,NULL,,,,"Проектная/Временная работа, гибкий график",2015-01-19T12:21:15.822+03:00,dcadc7754aea4b78cd90d2510816a006
290,"Региональный менеджер","<a itemprop=""hiringOrganization"" href=""/employer/1542198"">ООО САНБИОФАРМ</a>","ООО САНБИОФАРМ","з/п не указана","Москва, <span class=""metro-station""><span class=""metro-point"" style=""background: #943E90""></span>Рязанский проспект</span>","3–6 лет",,"высшее образование (желательно медицинское /фармацевтическое/биологическое); опыт работы региональным менеджером от 3 лет; владение навыками продаж, ведения переговоров, презентаций; коммуникабельность, активная жизненная позиция, ориентированность на результат, умение убеждать, ответственность;",NULL,,,,"Полная занятость, полный день",2015-01-20T20:32:41.589+03:00,3627207ce3adfcacec1a781be4d6335e
291,"Администратор универсал медицинского центра","<a itemprop=""hiringOrganization"" href=""/employer/1659685"">ООО Настамед</a>","ООО Настамед","от 27 000 до 29 000 руб.",Одинцово,"не требуется",,"•Обязательно среднее специальное медицинское образование.•Опыт работы в должности медицинской сестры•Желание обучаться и работать.•Ответственность, самоорганизованность, мотивация на помощь людям, коммуникабельность, стрессоустойчивость. Условия:•График работы - обсуждается (обычно 2через2). С 7.00 до 20.00 в будни, суббота до 17.00, воскресенье выходной.•Оформление в соответствии с ТК РФ.•Работа в крупной стабильной компании, корпоративные скидки.•Возможность профессионального и карьерного роста, обучение.АдресОдинцово, улица Чистяковой, 42Показать на карте­Тип занятостиПолная занятость, сменный график
            $(function(){
                HH.conversionGoals.trackAnalyticsEvent(
                    'view_work',
                    'profArea',
                    '12589197'
                );
            });
        Показать контактную информациюКонтактная информацияСтаростина ЕленаТелефон:
            +7 (903) 1033992Почта:
            estarostina@invitro.ruВы откликаетесь на вакансию в другой странеСтрана размещения вакансии — Россия.
                В резюме не указано, что вы готовы туда переехать.Все равно откликнутьсяНе откликатьсяОткликнуться на вакансиюОтклик направлен работодателюСопроводительное письмо к откликуОтменаПроизошла ошибка, попробуйте ещё разПожалуйста, введите сопроводительное письмоОтклик уже просмотрен работодателем.Письмо можно отправить только к непросмотренным резюме.Написать сопроводительное письмоПисьмо отправленоПроизошла ошибка, попробуйте ещё разТвитнутьДата публикации вакансии 19 января 2015РекомендуемПосмотрите другие вакансии из проф. областейАдминистративный персоналРесепшен",NULL,"•График работы - обсуждается (обычно 2через2). С 7.00 до 20.00 в будни, суббота до 17.00, воскресенье выходной.•Оформление в соответствии с ТК РФ.•Работа в крупной стабильной компании, корпоративные скидки.•Возможность профессионального и карьерного роста, обучение.АдресОдинцово, улица Чистяковой, 42Показать на карте­Тип занятостиПолная занятость, сменный график
            $(function(){
                HH.conversionGoals.trackAnalyticsEvent(
                    'view_work',
                    'profArea',
                    '12589197'
                );
            });
        Показать контактную информациюКонтактная информацияСтаростина ЕленаТелефон:
            +7 (903) 1033992Почта:
            estarostina@invitro.ruВы откликаетесь на вакансию в другой странеСтрана размещения вакансии — Россия.
                В резюме не указано, что вы готовы туда переехать.Все равно откликнутьсяНе откликатьсяОткликнуться на вакансиюОтклик направлен работодателюСопроводительное письмо к откликуОтменаПроизошла ошибка, попробуйте ещё разПожалуйста, введите сопроводительное письмоОтклик уже просмотрен работодателем.Письмо можно отправить только к непросмотренным резюме.Написать сопроводительное письмоПисьмо отправленоПроизошла ошибка, попробуйте ещё разТвитнутьДата публикации вакансии 19 января 2015РекомендуемПосмотрите другие вакансии из проф. областейАдминистративный персоналРесепшен",,"Одинцово, улица Чистяковой, 42","Полная занятость, сменный график",2015-01-19T12:16:03.040+03:00,5ddaa870f7c1d20e1730b20d4d7c3cce
